floor,total floor,years of house,Square footage,building present situation pattern - hall,Transfer building present situation pattern - compartmented,Transfer Management organization,School,0.257-11,Distance To Bay,parking space,logY
3,5,29,28.462225,2,1,0,0.370072571,5,2.049617573,0,3.47194308
4,5,31,28.1325,2,1,0,0.749898236,5,0.090174917,0,3.664440797
6,15,4,24.53275,1,1,1,0.546246659,2,0.978960677,0,3.873712139
8,13,14,9.755625,0,1,1,0.676633362,7,1.252851982,0,3.785372691
2,14,8,40.52895,2,1,1,0.426398957,7,1.213320507,1,3.556768048
4,5,33,30.65535,2,1,0,0.455263352,4,1.979177798,0,3.332560421
15,21,16,22.242825,1,1,1,0.928673668,6,0.108835403,1,3.514370715
5,5,33,29.80835,3,1,0,0.480682671,4,1.964446907,0,3.58510909
5,15,0,38.67765,2,1,1,0.928673668,6,0.108835403,1,3.775254072
12,16,19,26.0997,2,1,1,0.301837992,1,1.999899957,0,3.590424135
10,12,5,23.174525,1,1,1,0.676633362,7,1.252851982,1,3.772842959
15,23,17,13.01355,1,1,1,0.546246659,2,0.978960677,0,3.114227731
4,4,36,11.2288,2,1,0,0.928673668,6,0.108835403,0,3.046530557
2,13,14,16.580025,2,1,1,0.551919167,6,1.348752678,0,3.915128878
12,19,5,18.921375,0,0,1,0.928673668,6,0.108835403,0,3.96437967
3,12,5,20.669825,1,1,1,0.676633362,7,1.252851982,0,3.768896939
21,22,14,12.962125,1,1,1,0.546246659,2,0.978960677,0,3.603306638
14,15,4,30.49805,2,1,1,0.546246659,2,0.978960677,1,3.902531963
6,14,18,11.04125,1,1,1,0.676633362,7,1.252851982,0,3.664565534
11,14,8,39.08905,2,1,1,0.426398957,7,1.213320507,1,3.679579951
8,12,19,10.088375,1,1,1,0.928673668,6,0.108835403,0,3.740913318
5,12,5,18.34965,1,1,1,0.676633362,7,1.252851982,0,3.953513088
4,4,36,27.30365,0,1,0,0.301837992,1,1.999899957,0,3.158040774
10,12,19,9.68,0,1,1,0.928673668,6,0.108835403,0,3.465477605
12,19,5,24.856425,2,1,1,0.508133014,6,1.39540754,0,3.759355412
18,22,14,12.508375,1,1,1,0.546246659,2,0.978960677,0,3.658798118
5,7,21,27.373225,1,1,0,0.937716511,6,0.20537172,1,3.672715813
11,19,15,21.33835,2,1,1,0.676633362,7,1.252851982,0,3.951013112
2,12,20,22.89925,2,1,1,0.546246659,2,0.978960677,0,3.744023842
8,11,9,11.83985,0,1,1,0.928673668,6,0.108835403,0,3.920177859
9,15,4,22.02805,1,1,1,0.546246659,2,0.978960677,0,3.965605435
